model,feature_selection,Genre,Accuracy,Precision,Recall,F1-Score,Support
Logistic,tfidf,Δράσης,0.9052069425901201,0.7857142857142857,0.25287356321839083,0.3826086956521739,87.0
Logistic,tfidf,Δραματική,0.7129506008010681,0.5526315789473685,0.18834080717488788,0.2809364548494983,223.0
Logistic,tfidf,Επιστημονικής Φαντασίας,0.8744993324432577,0.75,0.03125,0.06,96.0
Logistic,tfidf,Κωμωδία,0.8891855807743658,0.5,0.0963855421686747,0.16161616161616163,83.0
Logistic,tfidf,Περιπέτεια,0.8758344459279038,0.8,0.27350427350427353,0.4076433121019108,117.0
Logistic,tfidf,Avg/Total,0.5861700476976525,0.5349927675393342,0.09520682862770848,0.15121392744038273,1523.0
Logistic,w2v,Θρίλερ,0.7917222963951935,0.34285714285714286,0.08275862068965517,0.13333333333333333,145.0
Logistic,w2v,Οικογενειακή,0.9225634178905207,0.26666666666666666,0.0784313725490196,0.1212121212121212,51.0
Logistic,w2v,Αισθηματική,0.8170894526034713,0.39285714285714285,0.08396946564885496,0.13836477987421383,131.0
Logistic,w2v,Φαντασίας,0.8251001335113485,0.36363636363636365,0.064,0.108843537414966,125.0
Logistic,w2v,Δραματικό Θρίλερ,0.7810413885180241,0.25,0.006172839506172839,0.012048192771084336,162.0
Logistic,w2v,Εποχής,0.7903871829105474,0.35,0.09655172413793103,0.15135135135135136,145.0
Logistic,w2v,Δραμεντί,0.7703604806408545,0.23076923076923078,0.0379746835443038,0.06521739130434784,158.0
Logistic,w2v,Δράσης,0.8731642189586115,0.43103448275862066,0.28735632183908044,0.3448275862068965,87.0
Logistic,w2v,Δραματική,0.6608811748998665,0.30864197530864196,0.11210762331838565,0.16447368421052633,223.0
Logistic,w2v,Επιστημονικής Φαντασίας,0.8691588785046729,0.46875,0.15625,0.234375,96.0
Logistic,w2v,Κωμωδία,0.8624833110814419,0.2222222222222222,0.0963855421686747,0.13445378151260506,83.0
Logistic,w2v,Περιπέτεια,0.8130841121495327,0.3380281690140845,0.20512820512820512,0.25531914893617025,117.0
Logistic,w2v,Avg/Total,0.7934185830615037,0.3265039764002461,0.10045961917268549,0.14554045746980848,1523.0
Logistic,ww2v,Θρίλερ,0.8024032042723631,0.4827586206896552,0.2896551724137931,0.3620689655172414,145.0
Logistic,ww2v,Οικογενειακή,0.9038718291054739,0.29411764705882354,0.29411764705882354,0.29411764705882354,51.0
Logistic,ww2v,Αισθηματική,0.8117489986648865,0.44565217391304346,0.31297709923664124,0.36771300448430494,131.0
Logistic,ww2v,Φαντασίας,0.8518024032042724,0.6206896551724138,0.288,0.3934426229508197,125.0
Logistic,ww2v,Δραματικό Θρίλερ,0.7770360480640854,0.41379310344827586,0.07407407407407407,0.1256544502617801,162.0
Logistic,ww2v,Εποχής,0.8184245660881175,0.5494505494505495,0.3448275862068966,0.42372881355932207,145.0
Logistic,ww2v,Δραμεντί,0.7903871829105474,0.5068493150684932,0.23417721518987342,0.3203463203463203,158.0
Logistic,ww2v,Δράσης,0.8851802403204272,0.5081967213114754,0.3563218390804598,0.41891891891891897,87.0
Logistic,ww2v,Δραματική,0.6942590120160214,0.48514851485148514,0.43946188340807174,0.4611764705882353,223.0
Logistic,ww2v,Επιστημονικής Φαντασίας,0.8825100133511349,0.5512820512820513,0.4479166666666667,0.4942528735632184,96.0
Logistic,ww2v,Κωμωδία,0.8731642189586115,0.4,0.2891566265060241,0.3356643356643357,83.0
Logistic,ww2v,Περιπέτεια,0.8611481975967957,0.5670103092783505,0.4700854700854701,0.5140186915887851,117.0
Logistic,ww2v,Avg/Total,0.8105523933421406,0.49416819603647816,0.31779382797110967,0.3755739005283941,1523.0
MultiBayes,lda,Θρίλερ,0.807743658210948,0.5031446540880503,0.5517241379310345,0.5263157894736842,145.0
MultiBayes,lda,Οικογενειακή,0.8851802403204272,0.27848101265822783,0.43137254901960786,0.3384615384615385,51.0
MultiBayes,lda,Αισθηματική,0.7543391188251002,0.3681592039800995,0.5648854961832062,0.4457831325301205,131.0
